id;name;contact_info
1;yuck each;pink square though
2;busily and;sparse typewriter
3;hence other yowza;defiantly
4;aw happy-go-lucky ick;seldom inscribe sleepy
5;off;about however gah
6;starch word quaver;regarding another
7;inasmuch merrily;crest
8;weary;disinherit unfreeze whoa
9;if;duh
10;who unlike;milestone retrospectivity enthusiastically
11;midst;ick
12;how;stunning override chunder
13;chapel;ignorant wisely which
14;atop which;vice that
15;access;whoa
16;rejoin;by yahoo
17;nor;even tinderbox
18;quick aw fluff;phew vol absent
19;sparse;guide
20;schematise bathrobe sell;hm
21;generally worst ha;independence before noxious
22;modulo;royal debut minus
23;gadzooks per;decriminalize wearily
24;scrape fervently wrongly;first serene wrong
25;including satisfy;forgather
26;and;frilly achieve
27;too;during
28;true failing;duh untimely maestro
29;psst whoever;too
30;fooey;now
