id;name;contact;qualification
1;regularly enormously;noon when;yawningly
2;entwine continually;through saloon ouch;unique
3;till well-to-do but;but before schlep;space meh yuck
4;lazily since wise;once reassuringly suddenly;gently
5;aw;consequently oily;rekindle provided
6;flight avaricious obedience;barge mismatch;excess underneath
7;boohoo when angelic;ouch reproachfully;soulful above
8;ew low accomplished;wire tempting;depute hourly rapidly
9;convoke that convoke;saturate why but;burly soup youthfully
10;geez longingly peter;out exotic;behind
11;outstanding;whoever translation drag;yet arrogantly
12;provided;scarily once;frantically
13;pike crocodile;bitterly boohoo;private
14;humor supposing cautiously;when;whoever lest fooey
15;if;boohoo psst broken;whose
16;knowledgeably greedily live;puny gah;jungle ha geez
17;diagram instruction;spanish uh-huh warlike;ouch
18;awkwardly;bog among parade;once out
19;interestingly;geez;instead windy
20;delightfully;when;book
21;that;impressionable quinoa evenly;softly
22;low;summary freely;during pale
23;meander;culminate mysteriously;yippee piglet fully
24;pertain like coolly;impressive transom;equally cheetah
25;zowie;instead;dividend obnoxiously
26;frequent summer;ouch whether while;parody
27;begonia in apud;grizzled jealously;ceramics nor
28;summary;easily before repeatedly;impolite appertain demob
29;hence vanadyl reconstitute;aboard moment;kindheartedly jaggedly term
30;aw;on slowly;zowie compromise who
