id;name;contact;has_car
1;out puzzled ouch;gadzooks agitated;true
2;knottily optimistically;huzzah;false
3;unnaturally with strictly;following disadvantage;true
4;these moisten appropriate;hourly;false
5;rag;huzzah corner mid;false
6;think up birdbath;ha neaten;false
7;concentration a frizz;bran;false
8;internalize;orchestrate within;true
9;even via;pish because;false
10;absentmindedly;kindheartedly shyly propound;false
11;mortise;ravage;false
12;recovery regularly;hollow since when;true
13;vibrant rebuff acidly;after which;false
14;valuable;aboard;false
15;gladly yet;stranger stark;false
16;er brr loosely;ugh;true
17;distant;certification when drat;false
18;rundown;confound mmm silently;true
19;sans;loudly;false
20;wherever swiftly cautiously;bad;false
21;unfortunate vice;galvanize;false
22;owlishly;fairly uh-huh;false
23;equatorial;hornet soggy whitewash;false
24;brr tightly;consequently;false
25;austere than;hmph;false
26;ick;excepting radiant afore;true
27;below what quinoa;bah;false
28;brochure through ick;ignite certainly accomplished;false
29;or formation;while;false
30;calculating;hm;true
